num,score,Color,Light,Composition,color_feature,light_feature,composition_feature
2683.jpg,0.718181818,0.722727273,0.722727273,0.737878788,"[1.0, 0.22815533980582525, 0.23771809895833335, 0.23157894736842105, 0.15995442708333332, 0.25, 0.1]","[0.5245222585678567, 0.3302326294690925, 0.5859141263276144, 0.32048559449290837]","[0.531436329308586, 0.586481672139278, 0.514845693, 0.56229455, 0, 0, 0, 0, 1, 0]"
2705.jpg,0.615151515,0.605555556,0.605555556,0.600505051,"[1.0, 0.2912621359223301, 0.16143880208333333, 0.3473684210526316, 0.07238932291666667, 0.35, 0.1]","[0.3271702430972389, 0.19120039548001327, 0.4170411049836601, 0.21922435288028602]","[0.678044891039742, 0.71108801405104, 0.340721135, 0, 0, 0, 0, 0, 0, 0]"
2724.jpg,0.5,0.55,0.55,0.516666667,"[1.0, 0.2912621359223301, 0.15227864583333334, 0.5105263157894737, 0.05806966145833333, 0.5, 0.1]","[0.4383147008803521, 0.28762286573500756, 0.4919211728962418, 0.2767326722301674]","[0.674444652956038, 0.697258220654754, 0, 0, 0, 0.166670676, 0, 0, 0, 0]"
2748.jpg,0.551612903,0.539247312,0.539247312,0.544623656,"[1.0, 0.038834951456310676, 0.3535026041666667, 0.03684210526315789, 0.33138671875, 0.25, 0.1]","[0.231023113943564, 0.17703559727328233, 0.2831929381127451, 0.2265552794649663]","[0.526915127880131, 0.600464993114286, 0.624809515, 0, 0, 0, 0, 0, 0, 0]"
2762.jpg,0.58,0.623333334,0.623333334,0.618571429,"[1.0, 0.10679611650485436, 0.35753073770491806, 0.12894736842105264, 0.2615595725995316, 0.3, 0.1]","[0.3902130612724132, 0.41208314196124785, 0.45111140767782526, 0.41260700589551635]","[0.49107118832747, 0.510450308714136, 0.135072165, 0, 0, 0.399557126, 0, 0, 0, 0]"
3028.jpg,0.414634146,0.422764228,0.422764228,0.342818428,"[1.0, 0.1262135922330097, 0.23133138020833333, 0.06315789473684211, 0.235732421875, 0.15, 0.1]","[0.7439115579117553, 0.18146436094813653, 0.8477356898488563, 0.15790035625818402]","[0.520261757250514, 0.57679214993754, 0, 0, 0, 0, 0, 0, 0, 0]"
3114.jpg,0.696875,0.666145834,0.666145834,0.7078125,"[1.0, 0.1796116504854369, 0.18729508196721312, 0.11052631578947368, 0.22390954332552693, 0.3, 0.1]","[0.4991530594273637, 0.21303722869590896, 0.6018316342930615, 0.24921017070944645]","[0.476318690968106, 0.551375124225864, 0, 0, 0, 0.195164623, 0, 0, 0, 0]"
3158.jpg,0.677142857,0.681428572,0.681428572,0.695714286,"[1.0, 0.10679611650485436, 0.27431640625, 0.11842105263157894, 0.11117513020833333, 0.25, 0.1]","[0.2312627134187008, 0.15128169683444853, 0.3213015854779412, 0.20020649669064428]","[0.678140650821057, 0.711453185986748, 0.608666234, 0, 0, 0, 0, 0, 0, 0]"
3196.jpg,0.682857143,0.693809524,0.693809524,0.689047619,"[1.0, 0.18932038834951456, 0.127294921875, 0.12631578947368421, 0.17917643229166666, 0.3, 0.8]","[0.4783736411231159, 0.24610987524564112, 0.5774284237132352, 0.2367698086890722]","[0.678037433071679, 0.711059568005658, 0.710645944, 0.675989863, 0, 0, 0, 0, 0, 0]"
3272.jpg,0.697058824,0.716176471,0.716176471,0.730882353,"[1.0, 0.22330097087378642, 0.261884765625, 0.13157894736842105, 0.25821614583333335, 0.25, 0.3]","[0.6499014189008937, 0.2952845140889446, 0.729961345996732, 0.2759395685373777]","[0.675441412364242, 0.701107033778066, 0.218100085, 0.447012575, 0, 0, 0, 0, 0, 0]"
3289.jpg,0.64516129,0.677419355,0.677419355,0.64516129,"[1.0, 0.1262135922330097, 0.3583528645833333, 0.06842105263157895, 0.46443359375, 0.2, 0.1]","[0.42674365048032636, 0.15966996706123165, 0.5970993540645425, 0.1792285695879528]","[0.524317629224984, 0.591300182026384, 0, 0, 0, 0, 0, 0, 0, 0]"
3387.jpg,0.563888889,0.531944445,0.531944445,0.59675926,"[1.0, 0.08737864077669903, 0.2527083333333333, 0.07894736842105263, 0.4160611979166667, 0.2, 0.1]","[0.5392141588178896, 0.35025203635478575, 0.564860817504085, 0.35772590911306185]","[0.526496920835035, 0.598995851901406, 0, 0, 0, 0.481432922, 0, 0, 0, 0]"
3429.jpg,0.694285714,0.670952381,0.670952381,0.680476191,"[1.0, 0.16019417475728157, 0.3108854166666667, 0.13157894736842105, 0.25978190104166665, 0.2, 0.1]","[0.628109577164199, 0.32446755152014267, 0.6853192657271242, 0.29994251679716294]","[0.676273432924716, 0.704307951812124, 0.819275422, 0, 0, 0, 0, 0, 0, 0]"
3460.jpg,0.638235294,0.672058824,0.672058824,0.657352941,"[1.0, 0.22330097087378642, 0.22750325520833334, 0.4605263157894737, 0.061162109375, 0.7, 0.2]","[0.38566405728958253, 0.2854609577205894, 0.42298008578431373, 0.3036443208000902]","[0.669212773059236, 0.676793623765174, 0, 0, 0, 0, 0, 0, 0, 0]"
3544.jpg,0.479411765,0.563235295,0.563235295,0.435784314,"[1.0, 0.23786407766990292, 0.09291666666666666, 0.16052631578947368, 0.07277018229166667, 0.25, 0.1]","[0.43124124649859946, 0.2004118627863985, 0.5539276194852941, 0.21785593920086196]","[0.677581417655009, 0.709318670889296, 0, 0, 0, 0, 0, 0, 0, 0.908120512]"
3726.jpg,0.524324324,0.6,0.6,0.541441442,"[1.0, 0.3932038834951456, 0.06079427083333333, 0.43157894736842106, 0.03599934895833334, 0.25, 0.1]","[0.3860700530212085, 0.1970610598053376, 0.512985102634804, 0.25634067500398516]","[0.678038905676415, 0.711065184853082, 0, 0, 0, 0.598630453, 0, 0, 0, 0.953125]"
3874.jpg,0.628571429,0.60952381,0.60952381,0.633333334,"[1.0, 0.22815533980582525, 0.13374674479166668, 0.4394736842105263, 0.058636067708333336, 0.3, 0.1]","[0.3967578698145925, 0.24995470683833607, 0.42100411049836606, 0.2580601020070359]","[0.677753449655504, 0.709975788845232, 0.257480204, 0, 0, 0, 0, 0, 0, 0.902416346]"
4209.jpg,0.470967742,0.466666667,0.466666667,0.405045492,"[1.0, 0.11650485436893204, 0.25459601873536297, 0.22894736842105262, 0.09936329039812647, 0.3, 0.1]","[0.27233846241199183, 0.07407984235723683, 0.3232363129678101, 0.08983460109205973]","[0.675312924290897, 0.700611768045582, 0, 0, 0, 0, 0, 0, 0, 0]"
4621.jpg,0.557142857,0.583333334,0.583333334,0.573809524,"[1.0, 0.11165048543689321, 0.3970030737704918, 0.05, 0.38081454918032787, 0.2, 0.1]","[0.6871190392324595, 0.2853020445199594, 0.9225054673508748, 0.21377898778613744]","[0.489274021494082, 0.51470091748215, 0, 0, 0, 0.598121089, 0, 0, 0, 0.942479152]"
4680.jpg,0.594444444,0.602777778,0.602777778,0.616666667,"[1.0, 0.07766990291262135, 0.48076171875, 0.042105263157894736, 0.43022786458333334, 0.1, 0.1]","[0.3192796749572312, 0.3042255788811123, 0.35817004953022874, 0.3429369248949712]","[0.543574099228777, 0.554694733493756, 0, 0, 0, 0.878498177, 0, 0, 0, 0]"
4825.jpg,0.5,0.536458334,0.536458334,0.5625,"[1.0, 0.06310679611650485, 0.7228739754098361, 0.04736842105263158, 0.5492278981264637, 0.15, 0.2]","[0.17860078163001727, 0.22975159023205702, 0.20670439282270284, 0.26971109557426043]","[0.46912573927913, 0.535534272300502, 0, 0, 0, 0, 0, 0, 0, 0.951902515]"
4867.jpg,0.528125,0.5453125,0.5453125,0.534895834,"[1.0, 0.22330097087378642, 0.08177408854166666, 0.10263157894736842, 0.12077799479166666, 0.15, 0.1]","[0.5202310090702948, 0.1598635888691081, 0.6617003931781046, 0.1336034924282425]","[0.675120024923337, 0.699867743846374, 0.37464507, 0, 0, 0, 0, 0, 1, 0]"
4967.jpg,0.663333333,0.665,0.665,0.670555556,"[1.0, 0.18446601941747573, 0.09685221354166666, 0.12894736842105264, 0.11692708333333333, 0.15, 0.1]","[0.6460630393096837, 0.15435835302719633, 0.7344511080473856, 0.13149509498970463]","[0.528406453105328, 0.59624942528383, 0, 0, 0, 0, 0, 0, 0, 0]"
5139.jpg,0.623529412,0.640196079,0.640196079,0.64509804,"[1.0, 0.11650485436893204, 0.3197200520833333, 0.17105263157894737, 0.29796223958333334, 0.7, 0.1]","[0.445687872464422, 0.4049237240832671, 0.47156571691176474, 0.3986275013285896]","[0.518057020064901, 0.568799001541054, 0, 0, 0, 0, 0, 0, 0, 0]"
5297.jpg,0.736111111,0.761574074,0.761574074,0.747685185,"[1.0, 0.23300970873786409, 0.16072591145833334, 0.18421052631578946, 0.24185546875, 0.35, 0.1]","[0.3742015556222489, 0.15408597667888815, 0.5266163194444445, 0.1807658356926486]","[0.673731884708416, 0.694496419398752, 0.718276949, 0.851248855, 0, 0, 0, 0, 0, 0]"
5298.jpg,0.553333333,0.548888889,0.548888889,0.548888889,"[1.0, 0.30097087378640774, 0.13785128805620608, 0.15, 0.1428864168618267, 0.15, 0.1]","[0.5096842030225264, 0.18484735725209375, 0.6957310321669652, 0.2421197998836192]","[0.484701772870795, 0.526363900135192, 0, 0.749756097, 0, 0, 0, 0, 0, 0]"
5463.jpg,0.675,0.693981482,0.693981482,0.675462963,"[1.0, 0.10194174757281553, 0.4414849238875878, 0.1763157894736842, 0.17143223067915692, 0.3, 0.1]","[0.17710959383753502, 0.18812376577288095, 0.24026490104238418, 0.23288287156847254]","[0.678315908513949, 0.694445351785762, 0, 0, 0, 0, 0, 0, 0, 0.996875]"
5516.jpg,0.664705882,0.660784314,0.660784314,0.670588235,"[1.0, 0.1796116504854369, 0.14918294270833332, 0.1, 0.147060546875, 0.2, 0.9]","[0.6279599339735894, 0.20033325256121853, 0.7499600949754901, 0.17273053533853475]","[0.73391786900984, 0.676311610247882, 0, 0, 0, 0.19586018, 0, 0, 0, 0]"
5579.jpg,0.753333333,0.743333333,0.743333333,0.754444445,"[1.0, 0.16990291262135923, 0.3794276932084309, 0.18421052631578946, 0.15623902224824357, 0.2, 0.1]","[0.6915234656736946, 0.24174961723778912, 0.7753832168113147, 0.16562911939831185]","[0.470554657723229, 0.54052554371812, 0.433608081, 0, 0, 0, 0, 0, 0, 0.87421875]"
5693.jpg,0.541176471,0.525490197,0.525490197,0.564705883,"[1.0, 0.10194174757281553, 0.44831705729166665, 0.07105263157894737, 0.12828776041666667, 0.15, 0.1]","[0.27418986050796157, 0.2523440196555281, 0.3284635671977124, 0.28090617558646847]","[0.526290925093098, 0.598271302455162, 0, 0.929040918, 0, 0, 0, 0, 0, 0]"
5789.jpg,0.716666667,0.705555556,0.705555556,0.714814815,"[1.0, 0.16990291262135923, 0.29387044270833335, 0.09736842105263158, 0.23266927083333333, 0.25, 0.1]","[0.3798125458236986, 0.12505500932282834, 0.6951811427696079, 0.21955122428294402]","[0.517179564054581, 0.565595974086402, 0, 0, 0, 0.780648542, 0, 0, 0, 0]"
6015.jpg,0.775,0.781018519,0.781018519,0.77175926,"[1.0, 0.22815533980582525, 0.17003439695550351, 0.17105263157894737, 0.18320403981264638, 0.45, 1.0]","[0.569837090241502, 0.2472568083248172, 0.661107231827157, 0.27426450680431247]","[0.675760487904895, 0.702335827592836, 0.652652524, 0.857274249, 0, 0, 0, 0, 0, 0]"
6144.jpg,0.720588235,0.727941177,0.727941177,0.693627451,"[1.0, 0.22815533980582525, 0.34697265625, 0.3026315789473684, 0.191650390625, 0.45, 0.1]","[0.30540091036414563, 0.24908605831380762, 0.39209234579248364, 0.32340317548401215]","[0.67990656884229, 0.70619518503024, 0.608595693, 0.831609114, 0, 0, 0, 0, 0, 0]"
6145.jpg,0.708823529,0.692647059,0.692647059,0.712254902,"[1.0, 0.11165048543689321, 0.37677083333333333, 0.09473684210526316, 0.36982421875, 0.3, 0.1]","[0.3071749533146592, 0.1220115556461936, 0.4265470537173202, 0.17143315587041177]","[0.678253121046997, 0.711881908399586, 0, 0, 0, 0, 0, 0, 0, 0.880698466]"
6291.jpg,0.784848485,0.751010101,0.751010101,0.776262627,"[1.0, 0.2669902912621359, 0.17307942708333332, 0.2894736842105263, 0.08663411458333334, 0.3, 0.1]","[0.43670259770574893, 0.2391952653161278, 0.5280630744485294, 0.27640023201106523]","[0.677748837456871, 0.709958177193014, 0.45939032, 0, 0, 0, 0, 0, 0, 0]"
6379.jpg,0.594444444,0.57037037,0.57037037,0.602777778,"[0.0, 0.038834951456310676, 0.6315690104166667, 0.021052631578947368, 0.6315690104166667, 0.0, 0.0]","[0.17575905362144859, 0.2513298697187195, 0.176353515625, 0.25208131459411687]","[0.678698341794291, 0.710447874077748, 0, 0.913285882, 0, 0, 0, 0, 0, 1]"
6541.jpg,0.541935484,0.566666667,0.566666667,0.545161291,"[1.0, 0.21844660194174756, 0.10115885416666667, 0.12631578947368421, 0.13355143229166666, 0.2, 0.1]","[0.4445386487928505, 0.23426988959971579, 0.5851886999591503, 0.2901974487390922]","[0.676999475253431, 0.707092514909014, 0.358963924, 0.634584662, 0, 0, 0, 0, 0, 0]"
6555.jpg,0.564516129,0.551075269,0.551075269,0.577956989,"[1.0, 0.009708737864077669, 0.933369140625, 0.13157894736842105, 0.116103515625, 0.5, 0.1]","[0.04089865112711751, 0.09258681260924465, 0.05641246680964052, 0.12173203942407779]","[0.678368656758562, 0.711679533884094, 0.632449324, 0, 0, 0, 0, 0, 0, 0]"
6633.jpg,0.583870968,0.593010753,0.593010753,0.566129033,"[1.0, 0.2524271844660194, 0.12586588541666666, 0.14473684210526316, 0.1521875, 0.15, 0.1]","[0.5842441143123915, 0.23467263903454091, 0.6923851485906862, 0.22400731919352856]","[0.669772692961306, 0.679005528411386, 0, 0, 0, 0, 0, 0, 0, 0]"
6968.jpg,0.606666667,0.603333334,0.603333334,0.597777778,"[1.0, 0.5242718446601942, 0.11310872395833334, 0.7078947368421052, 0.05301432291666667, 0.65, 0.1]","[0.4169576163798853, 0.2550566206638839, 0.5148471711601308, 0.2807860926235438]","[0.683150700594717, 0.69650167957816, 0.651813342, 0, 0, 0.228360966, 0, 0, 0, 0]"
7103.jpg,0.3125,0.364583334,0.364583334,0.324519231,"[1.0, 0.23300970873786409, 0.13715494791666666, 0.28421052631578947, 0.059345703125, 0.25, 0.1]","[0.4330050770308123, 0.2060175008826676, 0.4949599800857843, 0.23303402454034833]","[0.679448377562016, 0.707761551729684, 0, 0, 0, 0, 0, 0, 0, 0]"
7199.jpg,0.675,0.68125,0.68125,0.686458334,"[1.0, 0.11165048543689321, 0.2630269320843091, 0.0868421052631579, 0.18538129391100702, 0.2, 0.1]","[0.21206894920130215, 0.1934871817887455, 0.2827528757404601, 0.21160189483370026]","[0.677267498409023, 0.697789323854906, 0, 0, 0, 0.525997265, 0, 0, 0, 0]"
7437.jpg,0.645714286,0.68,0.68,0.632380953,"[1.0, 0.07281553398058252, 0.5510465456674473, 0.04736842105263158, 0.4034433548009368, 0.35, 0.3]","[0.1438354057839352, 0.18843065590620162, 0.2579436446709832, 0.3150422714122049]","[0.675528341076137, 0.70144196128759, 0, 0, 0, 0, 0, 0, 0, 0]"
7519.jpg,0.621875,0.6546875,0.6546875,0.6234375,"[1.0, 0.18446601941747573, 0.19735026041666667, 0.25263157894736843, 0.09250325520833333, 0.4, 0.4]","[0.5401949034647416, 0.2623182902260563, 0.5743202614379085, 0.25555598210780056]","[0.51674570395483, 0.564007526743298, 0, 0.613184445, 0, 0.227654151, 0, 0, 0, 0]"
7593.jpg,0.5625,0.578125,0.578125,0.53125,"[1.0, 0.30097087378640774, 0.11984049479166667, 0.2789473684210526, 0.07787109375, 0.4, 0.9]","[0.38192971819600324, 0.22449908660062348, 0.5144712009803921, 0.2756051401092197]","[0.558887992566837, 0.527229081437308, 0.331446972, 0.726417874, 0, 0.699162433, 0, 0, 0, 0]"
7620.jpg,0.452777778,0.499537037,0.499537037,0.325925926,"[1.0, 0.22330097087378642, 0.19684244791666666, 0.3605263157894737, 0.06041015625, 0.6, 0.9]","[0.3559488560524881, 0.21243470142356635, 0.4215848907271242, 0.2396589146946654]","[0.526520835571032, 0.599079928858972, 0, 0, 0, 0.311888405, 0, 0, 0, 0]"
7685.jpg,0.578125,0.5390625,0.5390625,0.5859375,"[1.0, 0.09223300970873786, 0.43870023419203746, 0.034210526315789476, 0.47847994730679155, 0.1, 0.1]","[0.8008191599993291, 0.22580512660507027, 0.8281122571979612, 0.2179869305776175]","[0.478456074012409, 0.544501078159558, 0.625041935, 0, 0, 0, 0, 0, 0, 0]"
7701.jpg,0.65,0.658333334,0.658333334,0.663235294,"[1.0, 0.0825242718446602, 0.545947265625, 0.1763157894736842, 0.12309895833333333, 0.5, 0.7]","[0.2641158546752034, 0.29181162919657566, 0.3460544960171569, 0.3464156465487764]","[0.677985202371819, 0.710860327495698, 0, 0, 0, 0.784807747, 0, 0, 0, 0]"
7752.jpg,0.55625,0.507291667,0.507291667,0.533333334,"[1.0, 0.16019417475728157, 0.1941015625, 0.21578947368421053, 0.11407552083333333, 0.35, 0.1]","[0.46879126650660263, 0.37463861402536264, 0.5326757429534315, 0.3879602263449019]","[0.676324391741964, 0.70450365373589, 0, 0, 0, 0.72281643, 0, 0, 0, 0.916218652]"
7876.jpg,0.713157895,0.720614035,0.720614035,0.689912281,"[1.0, 0.4223300970873786, 0.12913129391100703, 0.13157894736842105, 0.2089688231850117, 0.6, 0.9]","[0.5764064747520631, 0.1657356358113496, 0.8690921040547367, 0.2121408804057625]","[0.675447505415186, 0.701130513494498, 0, 0, 0, 0, 0, 0, 0, 0]"
7918.jpg,0.635,0.6675,0.6675,0.671666667,"[1.0, 0.3058252427184466, 0.094716796875, 0.16578947368421051, 0.13037109375, 0.15, 0.1]","[0.5213260304121649, 0.1423846134097765, 0.6767988153594772, 0.11731945936758591]","[0.676400595855263, 0.704796233644936, 0, 0, 0, 0.444766872, 0, 0, 0, 0.896875]"
7931.jpg,0.61,0.599444445,0.599444445,0.593888889,"[1.0, 0.13592233009708737, 0.3344701405152225, 0.18947368421052632, 0.08627049180327868, 0.2, 0.1]","[0.20259032667120902, 0.21205791675543514, 0.25825400652064107, 0.23377659871172518]","[0.698935885795423, 0.66713334957928, 0.881727639, 0, 0, 0, 0, 0, 0, 0.9375]"
7955.jpg,0.721875,0.7203125,0.7203125,0.7203125,"[1.0, 0.3155339805825243, 0.253349609375, 0.3684210526315789, 0.1141796875, 0.8, 0.1]","[0.34721722022142193, 0.27065466721580655, 0.4660129953022876, 0.34729078835697247]","[0.673998093641153, 0.69552885460943, 0, 0, 0, 0, 0, 0, 0, 0]"
